Timestamp,Input_Voltage(V),Input_Current(A),Input_Power(W),Output_Voltage(V),Output_Current(A),Output_Power(W)
2025-12-11 19:45:39,9.91,0.124,1.47,nan,nan,nan
2025-12-11 19:45:40,11.989,0.366,4.39,nan,nan,nan
2025-12-11 19:45:42,11.989,0.366,4.39,8.084,0.4799,3.88
2025-12-11 19:45:43,11.989,0.366,4.39,8.085,0.4775,3.86
2025-12-11 19:45:44,11.989,0.366,4.39,8.085,0.4796,3.878
2025-12-11 19:45:45,11.989,0.366,4.39,8.086,0.4782,3.867
2025-12-11 19:45:46,11.989,0.366,4.39,8.087,0.4784,3.868
2025-12-11 19:45:47,11.989,0.366,4.39,8.088,0.4792,3.876
2025-12-11 19:45:49,11.989,0.365,4.38,8.088,0.4768,3.857
2025-12-11 19:45:50,11.989,0.365,4.38,8.089,0.479,3.874
2025-12-11 19:45:51,11.989,0.365,4.38,8.089,0.4766,3.855
2025-12-11 19:45:52,11.989,0.365,4.38,8.09,0.4779,3.867
2025-12-11 19:45:53,11.989,0.365,4.38,8.09,0.4773,3.862
2025-12-11 19:45:54,11.989,0.366,4.39,8.09,0.4764,3.854
2025-12-11 19:45:56,11.989,0.366,4.39,8.091,0.4786,3.873
2025-12-11 19:45:57,11.989,0.366,4.39,8.092,0.4763,3.854
